Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Vigée-Lebrun - Anselme Payen,48.838684,2.311042,18,24,6,False,12
Institut du Monde Arabe - Saint-Germain,48.849063,2.355809,10,40,29,True,1
Octave Gréard - Tour Eiffel,48.856503,2.293179,18,33,14,True,6
Château - République,48.862924,2.415504,8,26,18,False,6
Chartres - La Charbonnière,48.88476,2.353466,0,34,34,False,0
Lisbonne - Monceau,48.877456,2.309694,4,33,28,True,3
Moncey - Blanche,48.880066,2.331081,1,17,16,False,1
Rochechouart lamartine,48.87672,2.344393,0,24,24,True,0
Jemmapes - Ecluses Saint-Martin,48.877485,2.366007,12,15,3,True,2
Thionville - Ourcq,48.889176,2.383365,4,24,19,True,2
Gare du Nord - Hôpital Lariboisière,48.881949,2.352339,4,49,43,False,1
Legendre - Clichy,48.888962,2.322529,4,40,36,True,3
Quai de la Seine,48.884492,2.370394,1,24,23,True,1
Cité Riverin - Château d'Eau,48.870702,2.35874,1,18,17,True,0
Mutualité,48.848226,2.350287,7,37,26,True,1
Rossini - Laffitte,48.873346,2.337981,1,33,32,False,0
Pyrénées - Emmery,48.87201,2.39204,1,40,39,False,0
Diderot - Reuilly,48.847208,2.386127,18,44,25,True,1
Saint-Ambroise - Parmentier,48.862148,2.377235,2,38,34,True,1
Belidor - Gouvion-Saint-Cyr,48.880222,2.285468,7,39,31,True,4
Place Balard,48.836396,2.278419,5,22,17,True,2
Place de Rhin et Danube,48.881928,2.392587,10,17,7,False,9
Roquette - Thiéré,48.855079,2.373369,21,23,2,True,1
Berri - Haussmann,48.874746,2.308295,7,35,28,False,2
Saint-Maur - Roquette,48.858689,2.383554,24,46,22,True,13
11 Novembre 1918 - 8 Mai 1945,48.808895,2.538242,22,36,14,False,10
Place Du Général De Gaulle,48.868759,2.432993,5,26,21,False,5
Exelmans - Versailles,48.840975,2.26439,40,49,8,True,10
Pereire - Rennequin,48.883648,2.295245,4,23,18,True,3
Port-Royal - Hôpital du Val-de-Grâce,48.837668,2.344814,6,18,11,True,4
Claude Decaen - Cannebière,48.837614,2.397254,21,27,4,False,11
Gare d'Austerlitz,48.842524,2.364044,10,14,4,True,6
Desaix - Edgar Faure,48.852805,2.293077,9,12,3,True,6
Delphine Seyrig - Général Leclerc,48.893924,2.397903,2,53,49,False,2
Panthéon - Valette,48.847021,2.346498,4,39,35,False,3
Square Simon Bolivar,48.87509,2.38263,13,24,10,False,10
Récollets - Square Villemin,48.875035,2.359801,0,17,16,False,0
Amelot - Saint-Sébastien,48.861142,2.3678,22,30,8,False,3
